study_id,model_id,ref_no,doi,pmid,year,population,pain_type,n_unique_subjects,n_sessions,n_windows,target_name,target_source,target_timing,modality,sensor,sampling_rate,missingness,preprocessing,segmentation,features,architecture,fusion,split_unit,outer_validation,inner_tuning,external_validation,metrics,confidence_intervals,calibration,uncertainty,subgroup_analysis,confounders,data_access,code_access,funding,conflicts,risk_of_bias,reviewer_notes
S-10.1038/s41746-023-00892-x,M035-01,35,10.1038/s41746-023-00892-x,,,SCS chronic pain,SCS chronic pain,15,NR,NR,longitudinal self-reported pain,see full text,see full text,wearable activity + NRS/PRO,wearable activity + NRS/PRO,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,NR,NR,NR,"20 recruited, 15 modeled; separation unclear",closed,NR,see full text,see full text,high,"20 recruited, 15 modeled; separation unclear"
S-10.3389/fphys.2023.1294577,M043-01,43,10.3389/fphys.2023.1294577,,,acute healthy,acute healthy,87,NR,NR,stimulus class,see full text,see full text,physiological signals,physiological signals,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,no,no,NR,Transformer baseline on BioVid,request,NR,see full text,see full text,some concerns,Transformer baseline on BioVid
S-10.1145/3449068,M044-01,44,10.1145/3449068,,,chronic low-back pain,chronic low-back pain,30,NR,NR,protective behavior,see full text,see full text,"IMU, EMG","IMU, EMG",NR,NR,see full text,NR,see full text,see full text,NR,LOSO,LOSO,NR,no,see full text,NR,no,no,NR,Behavior is not subjective intensity,request,NR,see full text,see full text,some concerns,Behavior is not subjective intensity
S-10.1038/ncomms14211,M045-01,45,10.1038/ncomms14211,,,acute healthy,acute healthy,NR,NR,NR,pain beyond nociception,see full text,see full text,fMRI,fMRI,NR,NR,see full text,NR,see full text,see full text,NR,independent cohorts,independent cohorts,NR,yes,see full text,NR,no,no,NR,Cerebral contribution beyond nociception,controlled access,NR,see full text,see full text,some concerns,Cerebral contribution beyond nociception
S-10.3389/fnins.2021.673998,M047-01,47,10.3389/fnins.2021.673998,,,SCS chronic pain,SCS chronic pain,14,NR,NR,perception/discomfort threshold,see full text,see full text,ECAP,ECAP,NR,NR,see full text,NR,see full text,see full text,NR,patient-level association,patient-level association,NR,no,see full text,NR,NA,NA,NR,Perception is not analgesia,closed,NR,see full text,see full text,high applicability risk,Perception is not analgesia
S-10.1088/1741-2552/aceca4,M048-01,48,10.1088/1741-2552/aceca4,,,SCS chronic pain,SCS chronic pain,56,NR,NR,ECAP features/recruitment,see full text,see full text,"ECAP, posture","ECAP, posture",NR,NR,see full text,NR,see full text,see full text,NR,patient library,patient library,NR,no,see full text,NR,NA,NA,NR,Posture and pulse width alter ECAP,closed,NR,see full text,see full text,some concerns,Posture and pulse width alter ECAP
S-10.1136/rapm-2024-105346,M051-01,51,10.1136/rapm-2024-105346,,,SCS chronic pain,SCS chronic pain,>600,NR,NR,pain reduction association,see full text,see full text,ECAP-derived dose + PROM,ECAP-derived dose + PROM,NR,NR,see full text,NR,see full text,see full text,NR,pooled observational,pooled observational,NR,no,see full text,NR,no,no,NR,Association does not prove pain sensing,closed,NR,see full text,see full text,high,Association does not prove pain sensing
S-10.1038/s41598-025-92111-8,M052-01,52,10.1038/s41598-025-92111-8,,,SCS chronic pain,SCS chronic pain,17,NR,NR,surgery outcome,see full text,see full text,intraoperative EEG,intraoperative EEG,NR,NR,see full text,NR,see full text,see full text,NR,LOOCV,LOOCV,NR,no,see full text,NR,no,no,NR,Very small modeled sample,closed,NR,see full text,see full text,high,Very small modeled sample
S-10.1371/journal.pone.0337726,M053-01,53,10.1371/journal.pone.0337726,,,SCS + chronic pain + controls,SCS + chronic pain + controls,75,NR,NR,group/SCS response,see full text,see full text,MEG,MEG,NR,NR,see full text,NR,see full text,see full text,NR,patient-level CV,patient-level CV,NR,no,see full text,NR,no,no,NR,Weak association with NRS in SCS group,closed,NR,see full text,see full text,high,Weak association with NRS in SCS group
S-10.1016/j.jpain.2026.106416,M054-01,54,10.1016/j.jpain.2026.106416,42600964,2026,external validation,external validation,NR,NR,NR,continuous pain,reported in PubMed abstract/full text,see full text,EEG,EEG,NR,NR,see full text,NR,see full text,see full text,NR,external,external,NR,yes,see full text,NR,NR,NR,NR,Recent external-validation study,NR,NR,see full text,see full text,some concerns,External Validation of EEG-Based Machine Learning Models for Continuous Pain Prediction. Recent external-validation study
S-10.3390/s26103181,M055-01,55,10.3390/s26103181,42197989,2026,acute healthy,acute healthy,NR,NR,NR,pain vs anticipation anxiety,reported in PubMed abstract/full text,see full text,wearable multimodal,wearable multimodal,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,NR,NR,NR,Contextual negative class is a methodological strength,open article,NR,see full text,see full text,some concerns,Multimodal Detection of Pain and Anticipation Anxiety from Ultra-Short Duration Wearable Sensors Measurements. Contextual negative class is a methodological strength
S-10.3390/s26103020,M056-01,56,10.3390/s26103020,42197829,2026,acute healthy,acute healthy,NR,NR,NR,pain state,reported in PubMed abstract/full text,see full text,EDA,EDA,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,NR,NR,NR,EDA remains nonspecific,open article,NR,see full text,see full text,some concerns,Real-Time Pain Assessment from Electrodermal Activity Using Deep Learning. EDA remains nonspecific
S-10.3390/s26102947,M057-01,57,10.3390/s26102947,42197756,2026,acute healthy,acute healthy,65,NR,NR,three pain levels,reported in PubMed abstract/full text,see full text,fNIRS,fNIRS,NR,NR,see full text,NR,see full text,see full text,NR,LOSO,LOSO,NR,no,see full text,NR,no,no,NR,High-pain recall about 50 percent despite 69.6 percent accuracy,open article,NR,see full text,see full text,some concerns,Connectivity-Based Pain Recognition from fNIRS: Parsimonious Subject-Independent Classification. High-pain recall about 50 percent despite 69.6 percent accuracy
S-10.1155/prm/5131891,M058-01,58,10.1155/prm/5131891,42029549,2026,acute healthy,acute healthy,NR,NR,NR,CoVAS zero/nonzero and intensity,reported in PubMed abstract/full text,see full text,ECG/HRV,ECG/HRV,NR,NR,see full text,NR,see full text,see full text,NR,subject-level NR,subject-level NR,NR,no,see full text,NR,NR,no,NR,Uses objective wording; external validation not reported in abstract,open article,NR,see full text,see full text,high claim risk,Machine Learning and ECG-Derived Biomarkers for Objective Pain Assessment. Uses objective wording; external validation not reported in abstract
S-10.1111/nicc.70478,M059-01,59,10.1111/nicc.70478,41983382,2026,clinical ICU,clinical ICU,120,NR,NR,expert-annotated facial pain severity,reported in PubMed abstract/full text,see full text,facial images,facial images,NR,NR,see full text,NR,see full text,see full text,NR,split unit NR,split unit NR,NR,no,see full text,NR,no,no,NR,636 images; inter-rater kappa 0.16,article,NR,see full text,see full text,high,Assessment of Pain Intensity Using Deep Learning Models in Non-Communicative Intensive Care Patients. 636 images; inter-rater kappa 0.16
S-10.1088/2057-1976/ae34b4,M060-01,60,10.1088/2057-1976/ae34b4,41499809,2026,acute healthy,acute healthy,50,NR,NR,low/high stimulus pain,reported in PubMed abstract/full text,see full text,EEG,EEG,NR,NR,see full text,NR,see full text,see full text,NR,LOSO,LOSO,NR,no,see full text,NR,no,no,NR,Subject-independent but single dataset,article,NR,see full text,see full text,some concerns,Explainable AI for Pain Perception: Subject-Independent EEG Decoding. Subject-independent but single dataset
